direction,angle
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,1
S,1
S,1
S,1
S,0
S,0
S,0
S,0
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,2
S,1
S,1
S,1
S,1
S,1
S,1
S,1
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
S,0
